,Gender,Age ,NN,TO,VB,DT,IN,PRP$,NNP,VBZ,RBS,JJ,CC,NNPS,RB,PRP,VBP,VBD,NNS,VBN,WP,VBG,MD,EX,POS,CD,WDT,WRB,PDT,JJS,JJR,RP,-NONE-,RBR,LS,WP$,FW,UH,-LRB-,Vocabulary
eaa5dee7f527a6a158ba2de33c135db5,MALE,50-64,1916,313,476,1277,1401,84,1336,408,9,1043,411,16,607,358,384,178,1062,318,90,231,211,26,15,250,83,91,1,45,49,19,37,29,1,5,6,0,0,3730
a19b3aa4172e27805ebb7d758f1a9554,FEMALE,25-34,82,20,19,51,55,9,75,13,0,40,20,0,32,32,21,15,40,9,1,16,5,0,0,20,2,6,0,3,1,3,0,2,0,0,0,0,0,345
9fd50a877070139eb06c70e34346d8bf,MALE,35-49,2142,346,492,940,958,202,1818,234,4,1088,316,22,336,476,386,120,604,160,22,156,174,14,22,310,38,62,0,14,32,4,34,12,0,0,0,0,0,1886
1c8878c8b91130a12db45ef2e8185183,FEMALE,35-49,364,85,126,289,375,72,514,102,2,171,105,0,237,290,114,177,107,54,25,58,43,11,27,49,12,25,3,4,7,15,6,6,0,0,0,0,0,1109
d5bafdf68fc64ed3e9bc147dfcc5aef4,MALE,50-64,2825,507,815,1682,2079,248,2262,345,6,1933,601,37,704,512,454,219,1377,422,46,266,412,22,14,441,81,75,2,37,79,22,66,43,2,0,2,0,0,4629
ade51b73b66e6c37d31deeaba14bd000,FEMALE,35-49,1187,231,202,753,946,167,1600,199,5,583,278,5,245,321,143,400,418,191,25,154,54,7,22,145,21,24,0,21,19,29,7,4,1,0,0,0,0,3326
8a27676432d2227fff82e5ca1973c62c,FEMALE,35-49,100,25,20,57,81,21,155,14,0,44,23,0,16,37,26,22,46,9,9,15,8,0,0,34,2,8,0,2,13,0,3,2,0,0,0,0,0,413
603d5ea042f656afdbec4a39f7203ea3,FEMALE,35-49,282,39,46,141,205,28,229,37,1,117,57,4,48,62,43,29,97,33,6,26,11,1,13,27,5,8,0,5,7,5,2,0,0,0,0,0,0,885
049a61c8481194920950bf2411e9f721,MALE,25-34,48,15,28,29,40,5,80,14,0,27,16,0,38,38,15,11,10,4,0,11,12,2,1,2,1,2,0,1,5,1,2,3,0,0,0,0,0,271
c191a1fb49e90564d6a2effeaf8493d6,FEMALE,50-64,546,119,173,381,474,95,1902,91,0,190,181,2,120,209,79,100,145,65,18,74,60,2,21,269,15,19,0,1,7,18,9,1,10,1,0,0,0,1581
47fb01784d4b95b49b3969f117581b32,FEMALE,18-24,885,108,166,507,486,57,898,135,1,442,208,8,327,302,194,115,284,76,23,69,62,12,15,69,21,22,0,18,24,16,13,14,0,0,0,0,0,1905
7a2db29d490c056dbbaba6170380848e,MALE,35-49,505,58,55,274,414,21,643,81,1,278,137,4,71,19,36,99,239,91,1,43,10,2,1,93,12,6,0,11,7,1,17,1,0,0,0,0,0,1531
c82ac59e4431be73a1a9c148abbacfb7,MALE,35-49,65,4,4,35,42,2,59,10,0,22,9,0,25,13,4,8,12,5,1,5,2,0,3,3,2,2,0,0,3,0,1,1,0,0,0,0,0,232
4e42116e64b482d8138352a72f32e8bc,FEMALE,25-34,723,120,199,440,587,100,426,82,6,328,156,0,205,287,127,95,196,88,18,78,88,9,30,147,25,11,2,10,12,13,6,8,0,0,0,0,1,1663
e70b835403729f1a2437127aa543d8f3,MALE,25-34,96,14,13,49,71,11,115,18,0,44,35,0,8,7,8,3,37,19,0,4,4,0,0,39,3,1,0,0,4,1,0,0,0,0,0,0,0,293
69dcc34685484753917caabc186c8ee8,MALE,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121503d0305016cc445a5409b84bd1dc,MALE,50-64,1714,447,436,1125,1417,159,2579,314,3,670,398,46,405,410,260,477,616,306,50,202,117,8,45,328,59,38,1,14,25,44,13,13,0,1,0,0,0,3771
23120d5588a1042cf38f5df310432a83,FEMALE,25-34,80,12,21,54,52,10,95,20,0,41,16,0,16,26,12,15,39,9,2,9,12,0,0,17,6,4,0,1,6,1,2,0,0,0,0,0,0,347
8530e3cea6d6cfdd3892902b3876e60a,MALE,25-34,78,16,24,55,52,2,130,19,0,23,29,2,8,31,13,14,25,13,1,8,6,0,0,21,8,8,1,0,1,0,1,1,1,0,0,0,0,327
f88316ce3babd449f686dfbfcea929d3,FEMALE,50-64,212,42,42,124,214,29,215,37,0,121,50,4,57,90,55,48,95,26,21,19,11,3,20,53,7,12,0,5,2,6,71,2,4,0,0,0,0,764
ebb150c68b95d6f1c846b4cb8727d8f7,MALE,25-34,35,6,10,26,29,5,43,7,0,26,9,0,7,19,5,9,12,4,0,4,4,1,1,2,1,3,0,0,3,1,0,0,0,0,0,1,0,191
